template_code	retro_template	template_hash	classification	library_occurence	conditions
192	[OH;D1;+0:4]-[C;H0;D4;+0:3]1-[O;H0;D2;+0:5]-[c;H0;D3;+0:6]:[c;H0;D3;+0:7]-[C;H0;D4;+0:1]-1-[OH;D1;+0:2]>>O-[C;H0;D4;+0:1](-[OH;D1;+0:2])-[C;H0;D3;+0:3]=[O;H0;D1;+0:4].[OH;D1;+0:5]-[c;H0;D3;+0:6]:[cH;D2;+0:7]	081508b9145f46e1e8d42f74f7c713790575e610c02c9dd12215a69604b2c90e	0.0 Unrecognized	20	1
193	[n;H0;D2;+0:5]:[c;H0;D3;+0:4]-[c;H0;D3;+0:3]1:[n;H0;D2;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:6]:[n;H0;D3;+0:7]:1>>C-N(-C)-[CH;D2;+0:1]=[N;H0;D2;+0:2]-[C;H0;D3;+0:3](=O)-[c;H0;D3;+0:4]:[n;H0;D2;+0:5].[NH2;D1;+0:6]-[NH;D2;+0:7]	08170ce0b88bad015dd2202b2f67442e39f1d7b93874e3be6433c80538f2b05b	0.0 Unrecognized	35	1
194	[Cl;H0;D1;+0:2]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:5]:[c;H0;D3;+0:4]:[n;H0;D2;+0:3]:[n;H0;D2;+0:1]:[c;H0;D3;+0:7]:1-[c;H0;D3;+0:8]>>O-[N;H0;D2;+0:1]=O.[CH]-[Cl;H0;D1;+0:2].[NH2;D1;+0:3]-[c;H0;D3;+0:4]:[c;H0;D3;+0:5]-[C;H0;D2;+0:6]#[C;H0;D2;+0:7]-[c;H0;D3;+0:8]	0852d6ca70cc29e6df6ec812541690c5e14a6396508fd2854edfc2e0cfc13b25	0.0 Unrecognized	19	1
195	[O;H0;D1;+0:7]=[c;H0;D3;+0:5]1:[c;H0;D3;+0:4]:[c;H0;D3;+0:3]:[n;H0;D2;+0:2]:[cH;D2;+0:1]:[n;H0;D3;+0:6]:1>>C-C-O-[CH;D3;+0:1](-O-C-C)-O-C-C.[NH2;D1;+0:2]-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[C;H0;D3;+0:5](-[NH;D2;+0:6])=[O;H0;D1;+0:7]	087707ee24c67bf1b18a645adfdc29d7232c6ec5edcac6c0b7932312971f41f6	0.0 Unrecognized	25	1
196	[c;H0;D3;+0:3]-[c;H0;D3;+0:2]1:[cH;D2;+0:1]:[c;H0;D3;+0:4]:[c;H0;D3;+0:5]:[o;H0;D2;+0:6]:1>>Cl-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[c;H0;D3;+0:3].[CH2;D2;+0:4]-[C;H0;D3;+0:5]=[O;H0;D1;+0:6]	0886b2acf7f1925d6a7eb4747ffca158e8e7b0cc1891aca61f5304a37f9faf5f	0.0 Unrecognized	10	1
197	[n;H0;D2;+0:7]:[c;H0;D3;+0:6]-[c;H0;D3;+0:3]1:[n;H0;D2;+0:4]:[o;H0;D2;+0:5]:[c;H0;D3;+0:1]:[n;H0;D2;+0:2]:1>>O-[C;H0;D3;+0:1]=O.[NH;D1;+0:2]=[C;H0;D3;+0:3](-[NH;D2;+0:4]-[OH;D1;+0:5])-[c;H0;D3;+0:6]:[n;H0;D2;+0:7]	088eb0b77608cc717b61d019ca733b7d6172bbb7a0b7d8ea07c9d5f31889811c	0.0 Unrecognized	11	1
198	[c;H0;D3;+0:5]1:[c;H0;D3;+0:4]:[s;H0;D2;+0:3]:[cH;D2;+0:2]:[cH;D2;+0:1]:1>>C-O-[CH;D3;+0:1](-O-C)-[CH2;D2;+0:2]-[S;H0;D2;+0:3]-[c;H0;D3;+0:4]:[cH;D2;+0:5]	089a59d344c35aaa782456f3d8d8f99b3e5758163a3aa3751e3f8d37c5a1ab4a	0.0 Unrecognized	22	1
199	[C;H0;D3;+0:2]1-[CH2;D2;+0:1]-[c;H0;D3;+0:5]:[c;H0;D3;+0:4]-[N;H0;D3;+0:3]-1>>Cl-[CH2;D2;+0:1]-[C;H0;D3;+0:2]-[N;H0;D3;+0:3]-[c;H0;D3;+0:4]:[cH;D2;+0:5]	08b2875fe281ecbc261b1d1470999c87fb6bd8ea569da708f5d74d28ba609c0c	0.0 Unrecognized	37	1
200	[OH;D1;+0:2]-[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[cH;D2;+0:5]:[c;H0;D3;+0:7](-[c;H0;D3;+0:8]):[n;H0;D2;+0:6]:1>>O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[CH3;D1;+0:5].[N;H0;D1;+0:6]#[C;H0;D2;+0:7]-[c;H0;D3;+0:8]	08c9dd3f147e18b66493fb80fa347d6711a5c792d0f5b86079ff9d7e105aea16	0.0 Unrecognized	12	1
201	[c;H0;D3;+0:4]1:[c;H0;D3;+0:3]:[n;H0;D2;+0:2]:[cH;D2;+0:1]:[nH;D2;+0:5]:1>>C-O-[CH;D3;+0:1](-O-C)-O-C.O=[N+;H0;D3:2](-[O-])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[NH2;D1;+0:5]	08dc27addcb2889813b51efdd0b0faa608ec09ef6575fe413036ee19f16df4cb	0.0 Unrecognized	19	1
202	[n;H0;D2;+0:3]:[c;H0;D3;+0:2]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:4]:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]:[nH;D2;+0:7]:1>>C-C-O-[C;H0;D3;+0:1](=N)-[c;H0;D3;+0:2]:[n;H0;D2;+0:3].[NH2;D1;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH2;D1;+0:7]	08dd48d962c5538cac4194a7f950621f4a10ce55017089a47c247bf895a89d94	0.0 Unrecognized	9	1
203	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[nH;D2;+0:5]:[c;H0;D3;+0:6](=[O;H0;D1;+0:7]):[n;H0;D3;+0:8]:1-[c;H0;D3;+0:9]:[n;H0;D2;+0:10]>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[NH2;D1;+0:5].Cl-C(-Cl)(-Cl)-O-[C;H0;D3;+0:6](=[O;H0;D1;+0:7])-O-C(-Cl)(-Cl)-Cl.[NH2;D1;+0:8]-[c;H0;D3;+0:9]:[n;H0;D2;+0:10]	08fba1d711abe36c38d5b4d7a0b0c2e4bbf7f1f7ec2a4d953d74d66596c20ed6	0.0 Unrecognized	6	1
204	[C;H0;D3;+0:6]1-[CH2;D2;+0:5]-[CH;D3;+0:2]2-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[CH;D3;+0:1](-[CH2;D2;+0:7]-1)-[N;H0;D3;+0:8]-2>>C-O-[CH;D3;+0:1]1-O-[CH;D3;+0:2](-O-C)-[CH2;D2;+0:3]-[CH2;D2;+0:4]-1.[CH3;D1;+0:5]-[C;H0;D3;+0:6]-[CH3;D1;+0:7].[NH2;D1;+0:8]	08ff10c8e85d6f8b68b534f7a9f5535c4b5488fb7ffc88a70957b00d3d8e7f9c	0.0 Unrecognized	4	1
205	[C;H0;D3;+0:5]1-[N;H0;D3;+0:4]-[CH2;D2;+0:3]-[C@;H0;D4;+0:2]2-[O;H0;D2;+0:1]-[CH2;D2;+0:7]-[c;H0;D3;+0:8]:[c;H0;D3;+0:9]-[C@@H;D3;+0:6]-1-2>>[O;H0;D1;+0:1]=[C;H0;D3;+0:2]-[CH2;D2;+0:3]-[N;H0;D3;+0:4]-[C;H0;D3;+0:5]-[CH;D3;+0:6]1-[CH2;D2;+0:7]-[c;H0;D3;+0:8]:[c;H0;D3;+0:9]-1	0922c51c6c3e714917d6b5f6dfbd8142823d987a707e0a15502e5dcdfd86b451	0.0 Unrecognized	3	1
206	[c;H0;D3;+0:9]-[n;H0;D3;+0:8]1:[n;H0;D2;+0:7]:[c;H0;D3;+0:1]:[cH;D2;+0:2]:[c;H0;D3;+0:3]:1-[c;H0;D3;+0:4](:[n;H0;D2;+0:5]):[s;H0;D2;+0:6]>>O=[C;H0;D3;+0:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](=O)-[c;H0;D3;+0:4](:[n;H0;D2;+0:5]):[s;H0;D2;+0:6].[NH2;D1;+0:7]-[NH;D2;+0:8]-[c;H0;D3;+0:9]	0923fe25f70d82a946c7f5d8e5c5e1b45a04d944b33c3a79aab4683faeff39cd	0.0 Unrecognized	19	1
207	[N;H0;D3;+0:5]-[c;H0;D3;+0:6]1:[n;H0;D2;+0:8]:[c;H0;D3;+0:1](=[O;H0;D1;+0:2]):[c;H0;D3;+0:3]:[cH;D2;+0:4]:[nH;D2;+0:7]:1>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH;D3;+0:3]-[CH;D2;+0:4]=O.[N;H0;D3;+0:5]-[C;H0;D3;+0:6](-[NH2;D1;+0:7])=[NH;D1;+0:8]	0933b53ea61a8ebd7676f01392a844915f48e31b97f925e5fc4b2cb8f47051cf	0.0 Unrecognized	16	1
208	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[nH;D2;+0:3]:[c;H0;D3;+0:4]:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]2:[n;H0;D2;+0:7]:[cH;D2;+0:8]:[n;H0;D2;+0:9]:[n;H0;D3;+0:10]:1:2>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[NH;D2;+0:3]-[c;H0;D3;+0:4]:[c;H0;D3;+0:5]-[C;H0;D2;+0:6]#[N;H0;D1;+0:7].O=[CH;D2;+0:8]-[NH;D2;+0:9]-[NH2;D1;+0:10]	094faaea7276bb40c586c9f3d8887a0fae2eda5b0716f67144c667230fb8b6d3	0.0 Unrecognized	13	1
209	[OH;D1;+0:4]-[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:5]:[c;H0;D3;+0:6]:[n;H0;D3;+0:7]:1:[n;H0;D2;+0:8]>>C-C-O-[CH;D2;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-O-C-C.[NH2;D1;+0:5]-[c;H0;D3;+0:6]:[n;H0;D2;+0:7]:[nH;D2;+0:8]	0955d7ff1350f178cc408b81102cd6520c4354a0b114d84b46356d3513f2262c	0.0 Unrecognized	5	1
210	[O;H0;D1;+0:3]=[c;H0;D3;+0:1]1:[c;H0;D3;+0:2]:[cH;D2;+0:4]:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]:[n;H0;D3;+0:7]:1>>C-O-[C;H0;D3;+0:1](-[CH2;D2;+0:2])=[O;H0;D1;+0:3].O=[CH;D2;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH;D2;+0:7]	0966ea4d7a6bad62b0d8cacd618fc2edc579bf1d3784ad254ab01c7c2f8767b9	0.0 Unrecognized	9	1
211	[CH2;D2;+0:1]-[n;H0;D3;+0:5]1:[n;H0;D2;+0:6]:[c;H0;D3;+0:7]:[c;H0;D3;+0:8]:[c;H0;D3;+0:2]:1-[c;H0;D3;+0:3]:[n;H0;D3;+0:4]>>O=[CH;D2;+0:1].O=[CH;D2;+0:2]-[c;H0;D3;+0:3]:[n;H0;D3;+0:4].[NH2;D1;+0:5]-[NH;D2;+0:6]-[c;H0;D3;+0:7]:[cH;D2;+0:8]	0974129b3760e801a135ab0471969372d612fd020c67ce55c7b09ec7c1f9c4ec	0.0 Unrecognized	79	1
212	[C;H0;D4;+0:1]1-[O;H0;D2;+0:2]-[CH2;D2;+0:3]-[CH;D3;+0:4]-[S;H0;D2;+0:5]-1>>O=[C;H0;D3;+0:1].[OH;D1;+0:2]-[CH2;D2;+0:3]-[CH;D3;+0:4]-[SH;D1;+0:5]	098114f7229a54dbd7d35cb4c2bca917575c9a7075db83caa6cda0bbc9e47c7b	0.0 Unrecognized	6	1
213	[NH;D2;+0:7]-[c;H0;D3;+0:5]1:[n;H0;D2;+0:4]:[c;H0;D3;+0:3]:[c;H0;D3;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:6]:1>>C-N(-C)-[CH;D2;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=O.[NH2;D1;+0:4]-[C;H0;D3;+0:5](=[NH;D1;+0:6])-[NH;D2;+0:7]	098fc0847551cb257d758a32ca629c697541fe7c3cc82acc5643b6aa965c772a	0.0 Unrecognized	66	1
214	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[CH2;D2;+0:3]-[CH;D3;+0:4]-[N;H0;D3;+0:5]-[c;H0;D3;+0:6]:[c;H0;D3;+0:7]-1>>O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[CH;D3;+0:4]-[N;H0;D3;+0:5]-[c;H0;D3;+0:6]:[cH;D2;+0:7]	0992dd5ad2c66110c76bd9aca7ba18a4b4e8c6756944e2a65afc303e4d603923	0.0 Unrecognized	5	1
215	[C;H0;D4;+0:1]1-[NH;D2;+0:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[O;H0;D2;+0:5]-1>>O=[C;H0;D3;+0:1].[NH2;D1;+0:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[OH;D1;+0:5]	099375c128b67c0b5421a85f3b20aecd34203dadfb09708af10cce237070906d	0.0 Unrecognized	14	1
216	[c;H0;D3;+0:4]-[c;H0;D3;+0:2]1:[n;H0;D2;+0:3]:[cH;D2;+0:1]:[n;H0;D2;+0:5]:[nH;D2;+0:6]:1>>C-O-[CH;D3;+0:1](-O-C)-N(-C)-C.O=[C;H0;D3;+0:2](-[NH2;D1;+0:3])-[c;H0;D3;+0:4].[NH2;D1;+0:5]-[NH2;D1;+0:6]	099ee55540b3ae4462babc713f66a41aa77511ee7ec485e614f70b2105b609a3	0.0 Unrecognized	36	1
217	[NH;D2;+0:2]-[C;H0;D3;+0:1]1=[N;H0;D2;+0:3]-[CH2;D2;+0:4]-[C@@;H0;D4;+0:5]-[O;H0;D2;+0:6]-1>>S=[C;H0;D2;+0:1]=[N;H0;D2;+0:2].[NH2;D1;+0:3]-[CH2;D2;+0:4]-[C@;H0;D4;+0:5]-[OH;D1;+0:6]	09a90be5fbcf55995b6d4b65ff16ab96b8a17cf074fdcfc5b94580a5251161d9	0.0 Unrecognized	202	1
218	[c;H0;D3;+0:2]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:6]:[c;H0;D3;+0:7]:[n;H0;D3;+0:8]:[c;H0;D3;+0:3]:1-[c;H0;D3;+0:4]:[n;H0;D2;+0:5]>>O=[C;H0;D3;+0:1](-[c;H0;D3;+0:2])-[CH2;D2;+0:3]-[c;H0;D3;+0:4]:[n;H0;D2;+0:5].[NH2;D1;+0:6]-[c;H0;D3;+0:7]:[n;H0;D2;+0:8]	09c3e3a2018c10826da2b951e66eb8c6a81d0093ec286ae0c03030e862ed9134	0.0 Unrecognized	18	1
219	[OH;D1;+0:3]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:7]:[c;H0;D3;+0:6]:[c;H0;D3;+0:5]:[cH;D2;+0:4]:[n;H0;D2;+0:2]:1>>N-[C;H0;D3;+0:1](-[NH2;D1;+0:2])=[O;H0;D1;+0:3].O=[CH;D2;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH2;D1;+0:7]	09c643bef8d2c528f83f2dcdfa8f3fb6762d6bb13118bb2db74f700f22ac6434	0.0 Unrecognized	66	1
220	[c;H0;D3;+0:1]1:[n;H0;D2;+0:2]:[n;H0;D2;+0:3]:[c;H0;D3;+0:4]:[o;H0;D2;+0:5]:1>>O=[C;H0;D3;+0:1]-[N;H0;D3;+0:2](-[NH2;D1;+0:3])-[C;H0;D3;+0:4]=[O;H0;D1;+0:5]	09c7413c050c8300efdb7bcaef5032d767385083fcd2afee00badffad73f0b52	0.0 Unrecognized	7	1
221	[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[nH;D2;+0:1]:[c;H0;D3;+0:5]:[cH;D2;+0:4]:1>>F-C(-F)(-F)-C(=O)-[NH;D2;+0:1]-[c;H0;D3;+0:2]:[c;H0;D3;+0:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]	09cccf7a0b94a3609ab05b9b155f7555c07f0152a41a745abe7a4d8be17f0924	0.0 Unrecognized	6	1
222	[c;H0;D3;+0:6]1:[c;H0;D3;+0:1]:[cH;D2;+0:2]:[cH;D2;+0:3]:[n;H0;D2;+0:4]:[c;H0;D3;+0:5]:1>>O=[C;H0;D3;+0:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[NH2;D1;+0:4]-[c;H0;D3;+0:5]:[cH;D2;+0:6]	09e6d12720d847689136b9a4f9f7fd93012dc6458d9a28766c8fb30d14c43285	0.0 Unrecognized	56	1
223	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[c;H0;D3;+0:5]:[cH;D2;+0:6]:[nH;D2;+0:7]:1>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[C;H0;D3;+0:5]=[CH;D2;+0:6]-[NH2;D1;+0:7]	09e9f8b72e88910e7e8b4d39e9171fb044fee54a4f1d7327c94eede4de1ec2dd	0.0 Unrecognized	12	1
224	[O;H0;D1;+0:5]=[C;H0;D3;+0:4]1-[CH2;D2;+0:3]-[c;H0;D3;+0:2]:[c;H0;D3;+0:1]-[N;H0;D3;+0:6]-1>>F-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[CH2;D2;+0:3]-[C;H0;D3;+0:4](-O)=[O;H0;D1;+0:5].[NH2;D1;+0:6]	09ed22cde65f5143deabac8c7f85f2cc01f34405902761e7519f6b014baa4090	0.0 Unrecognized	25	1
225	[N;H0;D3;+0:5]-[CH2;D2;+0:4]-[c;H0;D3;+0:6]1:[c;H0;D3;+0:7]:[nH;D2;+0:1]:[c;H0;D3;+0:2]:[c;H0;D3;+0:3]:1>>N-[NH;D2;+0:1]-[c;H0;D3;+0:2]:[cH;D2;+0:3].O=[C;H0;D3;+0:4](-[N;H0;D3;+0:5])-[CH2;D2;+0:6]-[CH2;D2;+0:7]	09ee52acc4a2fa7193cf7d3264da835821cf84a8b7f3e9acd3fb09d25c4b6e79	0.0 Unrecognized	15	1
226	[NH;D2;+0:4]-[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[c;H0;D3;+0:1]:[o;H0;D2;+0:6]:[n;H0;D2;+0:5]:1>>F-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[C;H0;D3;+0:3](-[NH;D2;+0:4])=[N;H0;D2;+0:5]-[OH;D1;+0:6]	09f0cd63bb7501c081ec7fff9ce0db1c5dd5e6828665a56237b817be81122ad2	0.0 Unrecognized	35	1
227	[C;H0;D4;+0:4]1-[O;H0;D2;+0:3]-[C@@H;D3;+0:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-1>>O-[CH2;D2;+0:1]-[C@@H;D3;+0:2]-[OH;D1;+0:3].[C;H0;D3;+0:4]=[O;H0;D1;+0:5]	0a0dfd0c93270399974a2dc5d637447404c16d0c291b4718eb8f5f06a2ee0f3c	0.0 Unrecognized	24	1
228	[n;H0;D2;+0:7]:[n;H0;D3;+0:6]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:4]:[c;H0;D3;+0:5]:1>>O-[CH;D2;+0:1]=[C;H0;D3;+0:2]-[C;H0;D3;+0:3]=O.[NH2;D1;+0:4]-[c;H0;D3;+0:5]:[n;H0;D2;+0:6]:[nH;D2;+0:7]	0a206d572f0d081ac2893265a43680f0409021255efd24d3106c7e087507b058	0.0 Unrecognized	18	1
229	[C@@H;D3;+0:3]1-[C@H;D3;+0:2]-[O;H0;D2;+0:1]-1>>Cl-[OH;D1;+0:1].[CH;D2;+0:2]=[CH;D2;+0:3]	0a2fc8d2c1e1a6a01dc81bf83e3c9b90d1720489fd6bff98f3bc17c35940f108	0.0 Unrecognized	15	1
230	[c;H0;D3;+0:3]-[c;H0;D3;+0:2]1:[n;H0;D2;+0:7]:[nH;D2;+0:6]:[cH;D2;+0:1]:[c;H0;D3;+0:4]:1-[c;H0;D3;+0:5]>>C-O-[CH;D3;+0:1](-O-C)-N(-C)-C.O=[C;H0;D3;+0:2](-[c;H0;D3;+0:3])-[CH2;D2;+0:4]-[c;H0;D3;+0:5].[NH2;D1;+0:6]-[NH2;D1;+0:7]	0a30aa8d2a43a1edc9ab84fd87b10b935950f819fa6afa5f4003c5095842d6dd	0.0 Unrecognized	5	1
231	[NH;D2;+0:6]-[c;H0;D3;+0:4]1:[n;H0;D2;+0:5]:[c;H0;D3;+0:3]:[n;H0;D2;+0:2]:[s;H0;D2;+0:1]:1>>C-[S;H0;D4;+0:1](=O)(=O)-O-[N;H0;D2;+0:2]=[C;H0;D3;+0:3]-Cl.S-[C;H0;D2;+0:4]#[N;H0;D1;+0:5].[NH2;D1;+0:6]	0a3684ea5d2f521562fa9a5c52cd6bc32e4db3b985eb36b133fca0bec5012e9e	0.0 Unrecognized	36	1
232	[O;H0;D1;+0:7]=[c;H0;D3;+0:5]1:[n;H0;D2;+0:6]:[c;H0;D3;+0:1]:[nH;D2;+0:2]:[c;H0;D3;+0:3]:[n;H0;D3;+0:4]:1>>C-O-[C;H0;D4;+0:1](-O-C)-O-C.[NH2;D1;+0:2]-[c;H0;D3;+0:3]:[n;H0;D3;+0:4]-[C;H0;D3;+0:5](-[NH2;D1;+0:6])=[O;H0;D1;+0:7]	0a7cb1c9eb4dcad3212352bccf7c6cffe42a2f5157ed380fad01a462f35498e0	0.0 Unrecognized	4	1
233	[c;H0;D3;+0:4]1:[n;H0;D2;+0:3]:[c;H0;D3;+0:2]:[c;H0;D3;+0:1]:[s;H0;D2;+0:5]:1>>Br-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[NH;D2;+0:3]-[C;H0;D3;+0:4]=[S;H0;D1;+0:5]	0a7dee3e74fee7709aa50a11be99bb02469ae75af9d81447786fe87caf213ad8	0.0 Unrecognized	7	1
234	[n;H0;D2;+0:7]:[c;H0;D3;+0:6](:[s;H0;D2;+0:8])-[n;H0;D3;+0:5]1:[c;H0;D3;+0:1]:[cH;D2;+0:2]:[cH;D2;+0:3]:[c;H0;D3;+0:4]:1>>O=[C;H0;D3;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C;H0;D3;+0:4]=O.[NH2;D1;+0:5]-[c;H0;D3;+0:6](:[n;H0;D2;+0:7]):[s;H0;D2;+0:8]	0a7e26948f3a71eec65d142f39bd1ea925f1a30acdfd2c68a59a5af1b1a97f32	0.0 Unrecognized	15	1
235	[CH2;D2;+0:2]1-[CH;D3;+0:3]-[O;H0;D2;+0:1]-1>>O-C(=O)-[OH;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]	0a7fc796eaea1f2f95584fca63170acdc68af27440b21ce7bdb90ffc3157dd94	0.0 Unrecognized	4	1
236	[n;H0;D2;+0:7]:[c;H0;D3;+0:6]-[c;H0;D3;+0:3]1:[n;H0;D2;+0:4]:[o;H0;D2;+0:5]:[c;H0;D3;+0:1]:[n;H0;D2;+0:2]:1>>O-[C;H0;D3;+0:1]=O.[NH2;D1;+0:2]-[C;H0;D3;+0:3](=[N;H0;D2;+0:4]-[OH;D1;+0:5])-[c;H0;D3;+0:6]:[n;H0;D2;+0:7]	0a8eeee1eba37db5ba3dbcdada851fe0080d8168874bb91806f194793e1c0773	0.0 Unrecognized	60	1
237	[OH;D1;+0:2]-[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[n;H0;D2;+0:7]:[cH;D2;+0:6]:[n;H0;D2;+0:5]:1>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH;D3;+0:3]-[C;H0;D3;+0:4]=O.[NH2;D1;+0:5]-[CH;D2;+0:6]=[NH;D1;+0:7]	0aba8ccaa3d249423bff22d3b845817431b3658440edc97872c32bb1bc66665c	0.0 Unrecognized	14	1
238	[NH2;D1;+0:2]-[c;H0;D3;+0:1]1:[cH;D2;+0:3]:[c;H0;D3;+0:4]:[n;H0;D2;+0:5]:[n;H0;D3;+0:6]:1-[c;H0;D3;+0:7]>>C-C-O/[C;H0;D3;+0:1](-[NH2;D1;+0:2])=[CH;D2;+0:3]/[C;H0;D3;+0:4]=O.[NH2;D1;+0:5]-[NH;D2;+0:6]-[c;H0;D3;+0:7]	0ad1bdb1983af0e03eaddc959c069d633dd9155bbc985880833fccfb5cffcaaa	0.0 Unrecognized	21	1
239	[c;H0;D3;+0:5]-[c;H0;D3;+0:4]1:[c;H0;D3;+0:6]:[c;H0;D3;+0:7]:[n;H0;D2;+0:8]:[c;H0;D3;+0:1](-[c;H0;D3;+0:3]):[cH;D2;+0:2]:1>>O=[C;H0;D3;+0:1](-[CH3;D1;+0:2])-[c;H0;D3;+0:3].O=[C;H0;D3;+0:4](-[c;H0;D3;+0:5])-[c;H0;D3;+0:6]:[c;H0;D3;+0:7]-[NH2;D1;+0:8]	0adde203ad3575b4bcbe5564a55eee0337cce4b39427bc572925a12abb6f347e	0.0 Unrecognized	13	1
240	[n;H0;D2;+0:3]:[c;H0;D3;+0:2]-[c;H0;D3;+0:1]1:[n;H0;D2;+0:4]:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]:[nH;D2;+0:7]:1>>O=[CH;D2;+0:1]-[c;H0;D3;+0:2]:[n;H0;D2;+0:3].[NH2;D1;+0:4]-[c;H0;D3;+0:5]:[c;H0;D3;+0:6]-[NH2;D1;+0:7]	0adfffcb3908428868001fc3a3e7f85f78f0ef3a66a13431107a20377035259e	0.0 Unrecognized	205	1
241	[CH2;D2;+0:2]1-[CH2;D2;+0:1]-[CH;D3;+0:3]-1>>C-C-[Zn]-[CH2;D2;+0:1]-C.[CH2;D1;+0:2]=[CH;D2;+0:3]	0aebe93752b4db129a3c4349337d94eb86e7a1772e0947dd961ac57f15ecd989	0.0 Unrecognized	22	1
242	[OH;D1;+0:2]-[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[n;H0;D2;+0:5]:[c;H0;D3;+0:6]:[n;H0;D2;+0:7]:1>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH;D3;+0:3]-[C;H0;D3;+0:4]=O.[NH2;D1;+0:5]-[C;H0;D3;+0:6]=[NH;D1;+0:7]	0af6d013bcdac56b3cfafa21b691c2909db18a8b96ccc7d787fb618c2d9c47ea	0.0 Unrecognized	15	1
243	[O;H0;D1;+0:6]=[C;H0;D3;+0:5]1-[CH;D3;+0:7]-[N;H0;D3;+0:8]-[c;H0;D3;+0:1](:[n;H0;D2;+0:2]):[c;H0;D3;+0:3]-[NH;D2;+0:4]-1>>Cl-[c;H0;D3;+0:1](:[n;H0;D2;+0:2]):[c;H0;D3;+0:3]-[NH2;D1;+0:4].O-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[CH;D3;+0:7]-[NH;D2;+0:8]	0b29468338c92c56f789de0ca4a46844ceaca4550cbd91d2226b6c8f9113070b	0.0 Unrecognized	16	1
